"Downloaded on",01/02/2026,"20:55:03 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22congress%22%3A%5B%22119%22%5D%2C%22source%22%3A%22all%22%2C%22bill-status%22%3A%22law%22%7D

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment"
"S. 1582",https://www.congress.gov/bill/119th-congress/senate-bill/1582,"119th Congress (2025-2026)","GENIUS Act","Hagerty, Bill [Sen.-R-TN]",05/01/2025,,"Became Public Law No: 119-27.",07/18/2025,5,,,,,
"S. 1071",https://www.congress.gov/bill/119th-congress/senate-bill/1071,"119th Congress (2025-2026)","National Defense Authorization Act for Fiscal Year 2026","Cornyn, John [Sen.-R-TX]",03/14/2025,"Senate - Veterans' Affairs","Became Public Law No: 119-60.",12/18/2025,1,,,,,
"S. 616",https://www.congress.gov/bill/119th-congress/senate-bill/616,"119th Congress (2025-2026)","Foundation of the Federal Bar Association Charter Amendments Act of 2025","Kennedy, John [Sen.-R-LA]",02/18/2025,"Senate - Judiciary","Became Public Law No: 119-57.",12/12/2025,1,,,,,
"S. 423",https://www.congress.gov/bill/119th-congress/senate-bill/423,"119th Congress (2025-2026)","PRO Veterans Act of 2025","Sullivan, Dan [Sen.-R-AK]",02/05/2025,"Senate - Veterans' Affairs","Became Public Law No: 119-33.",08/14/2025,13,,,,,
"S. 356",https://www.congress.gov/bill/119th-congress/senate-bill/356,"119th Congress (2025-2026)","Secure Rural Schools Reauthorization Act of 2025","Crapo, Mike [Sen.-R-ID]",02/03/2025,"Senate - Energy and Natural Resources","Became Public Law No: 119-58.",12/18/2025,27,,,,,
"S. 331",https://www.congress.gov/bill/119th-congress/senate-bill/331,"119th Congress (2025-2026)","HALT Fentanyl Act","Cassidy, Bill [Sen.-R-LA]",01/30/2025,"Senate - Judiciary","Became Public Law No: 119-26.",07/16/2025,31,,,,,
"S. 284",https://www.congress.gov/bill/119th-congress/senate-bill/284,"119th Congress (2025-2026)","Congressional Award Program Reauthorization Act","Lummis, Cynthia M. [Sen.-R-WY]",01/28/2025,"Senate - Homeland Security and Governmental Affairs","Signed by President.",12/26/2025,3,,,,,
"S. 260",https://www.congress.gov/bill/119th-congress/senate-bill/260,"119th Congress (2025-2026)","Bottles and Breastfeeding Equipment Screening Enhancement Act","Duckworth, Tammy [Sen.-D-IL]",01/27/2025,"Senate - Commerce, Science, and Transportation","Became Public Law No: 119-41.",11/25/2025,3,,,,,
"S. 216",https://www.congress.gov/bill/119th-congress/senate-bill/216,"119th Congress (2025-2026)","Save Our Seas 2.0 Amendments Act","Sullivan, Dan [Sen.-R-AK]",01/23/2025,"Senate - Commerce, Science, and Transportation","Signed by President.",12/26/2025,1,,,,,
"S. 201",https://www.congress.gov/bill/119th-congress/senate-bill/201,"119th Congress (2025-2026)","ACES Act of 2025","Kelly, Mark [Sen.-D-AZ]",01/23/2025,"Senate - Veterans' Affairs","Became Public Law No: 119-32.",08/14/2025,3,,,,,
"S. 160",https://www.congress.gov/bill/119th-congress/senate-bill/160,"119th Congress (2025-2026)","Aerial Firefighting Enhancement Act of 2025","Sheehy, Tim [Sen.-R-MT]",01/21/2025,"Senate - Armed Services","Became Public Law No: 119-18.",06/12/2025,8,,,,,
"S. 146",https://www.congress.gov/bill/119th-congress/senate-bill/146,"119th Congress (2025-2026)","TAKE IT DOWN Act","Cruz, Ted [Sen.-R-TX]",01/16/2025,"Senate - Commerce, Science, and Transportation","Became Public Law No: 119-12.",05/19/2025,21,,,,,
"S. 5",https://www.congress.gov/bill/119th-congress/senate-bill/5,"119th Congress (2025-2026)","Laken Riley Act","Britt, Katie Boyd [Sen.-R-AL]",01/06/2025,,"Became Public Law No: 119-1.",01/29/2025,53,,,,,
"S.J.Res. 80",https://www.congress.gov/bill/119th-congress/senate-joint-resolution/80,"119th Congress (2025-2026)","A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to ""National Petroleum Reserve in Alaska Integrated Activity Plan Record of Decision"".","Sullivan, Dan [Sen.-R-AK]",09/18/2025,"Senate - Energy and Natural Resources","Became Public Law No: 119-47.",12/05/2025,1,,,,,
"S.J.Res. 31",https://www.congress.gov/bill/119th-congress/senate-joint-resolution/31,"119th Congress (2025-2026)","A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Review of Final Rule Reclassification of Major Sources as Area Sources Under Section 112 of the Clean Air Act"".","Curtis, John R. [Sen.-R-UT]",03/06/2025,"Senate - Environment and Public Works","Became Public Law No: 119-20.",06/20/2025,5,,,,,
"S.J.Res. 28",https://www.congress.gov/bill/119th-congress/senate-joint-resolution/28,"119th Congress (2025-2026)","A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Defining Larger Participants of a Market for General-Use Digital Consumer Payment Applications"".","Ricketts, Pete [Sen.-R-NE]",02/27/2025,"Senate - Banking, Housing, and Urban Affairs","Became Public Law No: 119-11.",05/09/2025,5,,,,,
"S.J.Res. 18",https://www.congress.gov/bill/119th-congress/senate-joint-resolution/18,"119th Congress (2025-2026)","A joint resolution disapproving the rule submitted by the Bureau of Consumer Financial Protection relating to ""Overdraft Lending: Very Large Financial Institutions"".","Scott, Tim [Sen.-R-SC]",02/13/2025,"Senate - Banking, Housing, and Urban Affairs","Became Public Law No: 119-10.",05/09/2025,16,,,,,
"S.J.Res. 13",https://www.congress.gov/bill/119th-congress/senate-joint-resolution/13,"119th Congress (2025-2026)","A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of the Currency of the Department of the Treasury relating to the review of applications under the Bank Merger Act.","Kennedy, John [Sen.-R-LA]",02/04/2025,"Senate - Banking, Housing, and Urban Affairs","Became Public Law No: 119-19.",06/20/2025,5,,,,,
"S.J.Res. 11",https://www.congress.gov/bill/119th-congress/senate-joint-resolution/11,"119th Congress (2025-2026)","A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Ocean Energy Management relating to ""Protection of Marine Archaeological Resources"".","Kennedy, John [Sen.-R-LA]",02/04/2025,"Senate - Energy and Natural Resources","Became Public Law No: 119-3.",03/14/2025,2,,,,,
